Unfeasible Heat Cascade: 
,,Hot Utility: 0 kW
Interval,Delta H (kW),Exit H (total kW)
1,-0.003195164122659803,-0.003195164122659803
2,-2559.565456394532,-2559.5686515586544
3,-60701.282600000006,-63260.85125155866
4,-5164.54571,-68425.39696155867
5,-5705.378470816718,-74130.77543237539
6,-3733.1237762510946,-77863.89920862649
7,-1393.2958922930914,-79257.19510091958
8,-1024.535074995098,-80281.73017591468
9,-2161.809793447839,-82443.53996936252
10,-615.9597142359298,-83059.49968359845
11,-4175.29033,-87234.79001359845
12,-4942.280401777921,-92177.07041537638
13,-2310.7715099133943,-94487.84192528977
14,-9964.282719316221,-104452.124644606
15,-1440.2215967320103,-105892.346241338
16,-126.41059591920603,-106018.75683725721
17,84.02382974516819,-105934.73300751204
18,233.2694425857601,-105701.46356492628
19,-333.4360978985271,-106034.8996628248
20,1059.843252,-104975.05641082479
,,Cold Utility: -104975.05641082479 kW
""
Feasible Heat Cascade: 
,,Hot Utility: 106034.8996628248 kW
Interval,Delta H (kW),Exit H (total kW)
1,-0.003195164122659803,106034.89646766067
2,-2559.565456394532,103475.33101126614
3,-60701.282600000006,42774.048411266136
4,-5164.54571,37609.50270126614
5,-5705.378470816718,31904.12423044942
6,-3733.1237762510946,28171.000454198325
7,-1393.2958922930914,26777.704561905233
8,-1024.535074995098,25753.169486910134
9,-2161.809793447839,23591.359693462295
10,-615.9597142359298,22975.399979226364
11,-4175.29033,18800.109649226364
12,-4942.280401777921,13857.829247448444
13,-2310.7715099133943,11547.05773753505
14,-9964.282719316221,1582.7750182188283
15,-1440.2215967320103,142.55342148681802
16,-126.41059591920603,16.142825567611993
17,84.02382974516819,100.16665531278018
18,233.2694425857601,333.43609789854025
19,-333.4360978985271,1.3130829756846651e-11
20,1059.843252,1059.843252000013
,,Cold Utility: 1059.843252000013 kW
,,Pinch Temperature: 5.547123 degC
